R1,R2,R3,R4,R5,R6,R7,R8,F1,F2,F3,F4,F5,F6,F7,F8,L1,L2,L3,L4,L5,L6,L7,L8,x
0.452250,0.218180,0.763960,0.385590,0.945450,0.223420,0.436360,0.254550,Medio,Medio,Medio,Medio,Medio,Medio,Medio,Medio,251,12,424,214,52,124,24,14,Medio
0.778380,0.945450,0.744140,0.818020,0.563640,0.401800,0.781820,0.436360,Alto,Medio,Medio,Medio,Medio,Medio,Medio,Medio,432,52,413,454,31,223,43,24,Medio
0.583780,0.818180,0.437840,0.616220,0.436360,0.816220,0.600000,0.763640,Alto,Alto,Medio,Medio,Alto,Medio,Medio,Alto,324,45,243,342,24,453,33,42,Alto
0.783780,0.200000,0.434230,0.742340,0.618180,0.920720,0.745450,0.945450,Alto,Medio,Medio,Medio,Bajo,Medio,Medio,Medio,435,11,241,412,34,511,41,52,Medio
0.927930,0.254550,0.819820,0.926130,0.272730,0.981980,1.000000,0.981820,Medio,Medio,Medio,Alto,Medio,Medio,Medio,Medio,515,14,455,514,15,545,55,54,Medio
0.207210,0.218180,0.926130,0.207210,0.200000,0.944140,0.254550,1.000000,Medio,Medio,Bajo,Medio,Medio,Medio,Bajo,Medio,115,12,514,115,11,524,14,55,Bajo
0.600000,0.763640,0.920720,0.621620,0.563640,0.578380,0.563640,0.636360,Bajo,Medio,Medio,Medio,Medio,Medio,Alto,Medio,333,42,511,345,31,321,31,35,Medio
0.380180,0.400000,0.421620,0.400000,0.236360,0.223420,0.436360,0.218180,Medio,Medio,Medio,Alto,Medio,Medio,Medio,Bajo,211,22,234,222,13,124,24,12,Medio
0.203600,0.236360,0.740540,0.205410,0.200000,0.596400,0.200000,0.618180,Medio,Alto,Alto,Medio,Medio,Alto,Bajo,Medio,113,13,411,114,11,331,11,34,Medio
0.385590,0.418180,0.441440,0.400000,0.254550,0.783780,0.454550,0.763640,Medio,Alto,Bajo,Alto,Alto,Medio,Medio,Alto,214,23,245,222,14,435,25,42,Alto
0.439640,0.600000,0.275680,0.416220,0.818180,0.780180,0.418180,0.745450,Medio,Medio,Medio,Bajo,Alto,Medio,Medio,Medio,244,33,153,231,45,433,23,41,Medio
0.976580,0.254550,0.459460,0.922520,0.818180,0.441440,1.000000,0.400000,Alto,Medio,Alto,Medio,Alto,Medio,Medio,Bajo,542,14,255,512,45,245,55,22,Medio
0.455860,0.254550,0.992790,0.387390,1.000000,0.614410,0.381820,0.636360,Medio,Medio,Medio,Bajo,Medio,Medio,Medio,Medio,253,14,551,215,55,341,21,35,Medio
0.960360,0.436360,0.419820,0.940540,0.600000,0.618020,0.963640,0.581820,Medio,Medio,Medio,Medio,Medio,Alto,Medio,Alto,533,24,233,522,33,343,53,32,Medio
0.958560,0.218180,0.812610,0.926130,0.636360,0.398200,0.927270,0.436360,Alto,Medio,Medio,Alto,Bajo,Medio,Medio,Medio,532,12,451,514,35,221,51,24,Medio
0.237840,0.600000,0.452250,0.237840,0.636360,0.416220,0.200000,0.400000,Medio,Medio,Medio,Medio,Bajo,Alto,Bajo,Bajo,132,33,251,132,35,231,11,22,Bajo
0.457660,0.254550,0.201800,0.380180,0.927270,0.796400,0.400000,0.745450,Medio,Medio,Medio,Alto,Medio,Bajo,Medio,Medio,254,14,112,211,51,442,22,41,Medio
0.200000,0.636360,0.385590,0.237840,0.200000,0.277480,0.254550,0.218180,Medio,Bajo,Medio,Medio,Medio,Medio,Bajo,Bajo,111,35,214,132,11,154,14,12,Bajo
0.221620,0.236360,0.200000,0.200000,0.381820,0.596400,0.200000,0.563640,Medio,Alto,Alto,Bajo,Bajo,Alto,Bajo,Medio,123,13,111,111,21,331,11,31,Medio
0.944140,0.945450,0.243240,0.992790,0.418180,0.765770,1.000000,0.745450,Bajo,Medio,Medio,Alto,Medio,Medio,Medio,Medio,524,52,135,551,23,425,55,41,Medio
0.277480,0.945450,0.740540,0.277480,0.927270,0.758560,0.200000,0.800000,Medio,Medio,Alto,Medio,Medio,Medio,Bajo,Medio,154,52,411,154,51,421,11,44,Medio
0.944140,0.563640,0.421620,0.958560,0.418180,0.745950,0.981820,0.763640,Bajo,Medio,Medio,Medio,Medio,Medio,Medio,Alto,524,31,234,532,23,414,54,42,Medio
0.387390,0.927270,0.419820,0.454050,0.236360,0.924320,0.418180,0.945450,Medio,Medio,Medio,Bajo,Medio,Medio,Medio,Medio,215,51,233,252,13,513,23,52,Medio
0.236040,0.272730,0.632430,0.203600,0.636360,0.272070,0.200000,0.236360,Medio,Medio,Medio,Medio,Bajo,Bajo,Bajo,Alto,131,15,351,113,35,151,11,13,Bajo
0.419820,0.818180,0.801800,0.439640,0.618180,0.639640,0.454550,0.618180,Medio,Alto,Medio,Medio,Bajo,Medio,Medio,Medio,233,45,445,244,34,355,25,34,Medio
0.225230,1.000000,0.225230,0.272070,0.400000,1.000000,0.272730,0.927270,Alto,Medio,Medio,Medio,Alto,Alto,Bajo,Alto,125,55,125,151,22,555,15,51,Alto
0.223420,0.200000,0.958560,0.207210,0.418180,0.742340,0.218180,0.818180,Alto,Medio,Bajo,Medio,Medio,Medio,Medio,Medio,124,11,532,115,23,412,12,45,Medio
0.780180,0.563640,0.614410,0.780180,0.618180,0.560360,0.745450,0.600000,Medio,Medio,Medio,Medio,Bajo,Alto,Medio,Medio,433,31,341,433,34,311,41,33,Medio
0.819820,0.745450,0.261260,0.794590,0.981820,0.927930,0.818180,0.927270,Medio,Bajo,Medio,Medio,Medio,Bajo,Medio,Alto,455,41,145,441,54,515,45,51,Medio
0.434230,0.436360,0.938740,0.405410,0.763640,0.254050,0.381820,0.272730,Medio,Medio,Medio,Alto,Medio,Medio,Medio,Medio,241,24,521,225,42,141,21,15,Medio
0.603600,0.745450,0.403600,0.616220,0.581820,0.926130,0.618180,0.945450,Medio,Bajo,Medio,Medio,Bajo,Bajo,Alto,Medio,335,41,224,342,32,514,34,52,Bajo
0.800000,0.963640,1.000000,0.819820,0.818180,0.783780,0.818180,0.818180,Alto,Medio,Bajo,Bajo,Alto,Medio,Medio,Medio,444,53,555,455,45,435,45,45,Medio
0.639640,0.636360,0.956760,0.603600,0.963640,0.992790,0.563640,1.000000,Alto,Bajo,Medio,Medio,Medio,Alto,Alto,Medio,355,35,531,335,53,551,31,55,Medio
0.603600,0.818180,0.261260,0.614410,0.618180,1.000000,0.636360,0.927270,Medio,Alto,Medio,Medio,Bajo,Alto,Bajo,Alto,335,45,145,341,34,555,35,51,Medio
0.218020,0.563640,0.239640,0.236040,0.418180,0.203600,0.236360,0.200000,Medio,Medio,Bajo,Bajo,Medio,Alto,Alto,Bajo,121,31,133,131,23,113,13,11,Medio
0.763960,0.563640,0.956760,0.783780,0.418180,0.740540,0.745450,0.818180,Medio,Medio,Medio,Medio,Medio,Medio,Medio,Medio,424,31,531,435,23,411,41,45,Medio
0.945950,0.600000,0.237840,0.956760,0.418180,0.958560,0.945450,0.927270,Medio,Medio,Medio,Bajo,Medio,Medio,Medio,Alto,525,33,132,531,23,532,52,51,Medio
0.562160,0.800000,0.580180,0.618020,0.218180,0.436040,0.581820,0.418180,Alto,Alto,Medio,Medio,Medio,Medio,Medio,Medio,312,44,322,343,12,242,32,23,Medio
0.994590,0.945450,0.454050,0.994590,1.000000,0.400000,0.945450,0.400000,Medio,Medio,Alto,Alto,Medio,Alto,Medio,Bajo,552,52,252,552,55,222,52,22,Medio
